Província,Tipus de fet,Àmbit fet,Sexe,Edat,Nombre víctimes,Date,Municipi_clean,Comarca_clean,Rol_autor,Rol_victima
lleida,delicte,etnic/origen nacional/origen racial,dona,51,1,2023-07-01,resta municipis,segarra,False,True
lleida,delicte,etnic/origen nacional/origen racial,home,26,1,2023-07-01,resta municipis,segarra,True,False
lleida,delicte,etnic/origen nacional/origen racial,home,49,1,2023-07-01,resta municipis,segarra,False,True
lleida,delicte,etnic/origen nacional/origen racial,home,44,1,2023-07-01,resta municipis,segarra,False,True
barcelona,delicte,etnic/origen nacional/origen racial,dona,45,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,75,1,2023-07-01,resta municipis,barcelones,True,False
tarragona,delicte,orientacio politica,home,50,1,2023-07-01,resta municipis,tarragones,False,True
barcelona,delicte,lgtbi fobia,home,42,1,2023-07-01,resta municipis,baix llobregat,True,False
barcelona,delicte,lgtbi fobia,home,56,1,2023-07-01,resta municipis,baix llobregat,False,True
barcelona,delicte,orientacio politica,home,76,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,altres,lgtbi fobia,dona,41,1,2023-07-01,resta municipis,barcelones,True,False
barcelona,altres,lgtbi fobia,home,58,1,2023-07-01,resta municipis,barcelones,True,False
barcelona,altres,lgtbi fobia,dona,16,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,dona,14,1,2023-07-01,resta municipis,osona,False,True
tarragona,infraccio administrativa,lgtbi fobia,home,54,1,2023-07-01,resta municipis,conca de barbera,False,True
tarragona,infraccio administrativa,lgtbi fobia,home,17,1,2023-07-01,resta municipis,conca de barbera,True,False
barcelona,delicte,lgtbi fobia,home,36,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,33,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,infraccio administrativa,orientacio politica,dona,34,1,2023-07-01,resta municipis,bages,False,True
barcelona,delicte,lgtbi fobia,home,46,1,2023-07-01,resta municipis,bages,True,False
barcelona,delicte,lgtbi fobia,dona,57,1,2023-07-01,resta municipis,bages,False,True
barcelona,delicte,lgtbi fobia,home,46,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,28,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,infraccio administrativa,etnic/origen nacional/origen racial,dona,60,1,2023-07-01,resta municipis,valles occidental,True,False
barcelona,infraccio administrativa,etnic/origen nacional/origen racial,dona,50,1,2023-07-01,resta municipis,valles occidental,False,True
tarragona,delicte,etnic/origen nacional/origen racial,dona,38,1,2023-07-01,resta municipis,baix camp,False,True
tarragona,delicte,etnic/origen nacional/origen racial,dona,14,1,2023-07-01,resta municipis,baix camp,True,False
tarragona,delicte,etnic/origen nacional/origen racial,dona,13,1,2023-07-01,resta municipis,baix camp,False,True
barcelona,delicte,islamofobia,home,39,1,2023-07-01,resta municipis,valles oriental,True,False
barcelona,delicte,islamofobia,home,39,1,2023-07-01,resta municipis,valles oriental,False,True
barcelona,delicte,islamofobia,home,44,1,2023-07-01,resta municipis,valles oriental,False,True
barcelona,delicte,islamofobia,dona,32,1,2023-07-01,resta municipis,valles oriental,True,False
barcelona,delicte,islamofobia,dona,40,1,2023-07-01,resta municipis,valles oriental,False,True
girona,delicte,orientacio politica,home,50,1,2023-07-01,resta municipis,selva,True,False
barcelona,delicte,lgtbi fobia,home,41,1,2023-07-01,resta municipis,garraf,False,True
barcelona,infraccio administrativa,lgtbi fobia,home,22,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,infraccio administrativa,lgtbi fobia,home,35,1,2023-07-01,resta municipis,barcelones,True,False
barcelona,delicte,lgtbi fobia,home,45,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,islamofobia,home,58,1,2023-07-01,resta municipis,valles oriental,False,True
barcelona,delicte,islamofobia,home,30,1,2023-07-01,resta municipis,valles oriental,True,False
barcelona,delicte,islamofobia,home,56,1,2023-07-01,resta municipis,valles oriental,False,True
tarragona,delicte,etnic/origen nacional/origen racial,home,35,1,2023-07-01,resta municipis,tarragones,True,False
tarragona,delicte,etnic/origen nacional/origen racial,home,37,1,2023-07-01,resta municipis,tarragones,False,True
barcelona,delicte,lgtbi fobia,home,40,1,2023-07-01,resta municipis,barcelones,False,True
girona,delicte,lgtbi fobia,home,78,1,2023-07-01,resta municipis,alt emporda,False,True
barcelona,delicte,lgtbi fobia,home,56,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,37,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,orientacio politica,dona,58,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,orientacio politica,home,58,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,22,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,41,1,2023-07-01,resta municipis,valles occidental,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,60,1,2023-07-01,resta municipis,valles occidental,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,34,1,2023-07-01,resta municipis,garraf,False,True
barcelona,delicte,lgtbi fobia,home,59,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,55,1,2023-07-01,resta municipis,barcelones,True,False
barcelona,delicte,etnic/origen nacional/origen racial,dona,32,1,2023-07-01,resta municipis,osona,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,51,1,2023-07-01,resta municipis,osona,True,False
barcelona,delicte,etnic/origen nacional/origen racial,dona,45,1,2023-07-01,resta municipis,osona,True,False
barcelona,delicte,etnic/origen nacional/origen racial,dona,29,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,39,1,2023-07-01,resta municipis,barcelones,True,False
barcelona,delicte,lgtbi fobia,dona,30,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,73,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,dona,23,1,2023-07-01,resta municipis,barcelones,True,False
barcelona,delicte,lgtbi fobia,home,54,1,2023-07-01,resta municipis,barcelones,True,False
barcelona,delicte,lgtbi fobia,home,23,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,38,1,2023-07-01,resta municipis,barcelones,False,True
girona,delicte,etnic/origen nacional/origen racial,home,52,1,2023-07-01,resta municipis,selva,False,True
girona,delicte,etnic/origen nacional/origen racial,home,50,1,2023-07-01,resta municipis,selva,True,False
girona,delicte,etnic/origen nacional/origen racial,home,49,1,2023-07-01,resta municipis,selva,True,False
barcelona,delicte,lgtbi fobia,home,30,1,2023-07-01,resta municipis,valles occidental,False,True
barcelona,delicte,lgtbi fobia,home,42,1,2023-07-01,resta municipis,valles occidental,True,False
barcelona,delicte,lgtbi fobia,home,53,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,25,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,21,1,2023-07-01,resta municipis,barcelones,False,True
girona,delicte,etnic/origen nacional/origen racial,home,44,1,2023-07-01,resta municipis,selva,True,False
girona,delicte,etnic/origen nacional/origen racial,home,64,1,2023-07-01,resta municipis,selva,False,True
lleida,delicte,orientacio politica,home,56,1,2023-07-01,resta municipis,urgell,False,True
lleida,delicte,orientacio politica,dona,16,1,2023-07-01,resta municipis,urgell,True,False
lleida,delicte,orientacio politica,dona,13,1,2023-07-01,resta municipis,urgell,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,30,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,39,1,2023-07-01,resta municipis,barcelones,True,False
barcelona,delicte,lgtbi fobia,home,24,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,15,1,2023-07-01,resta municipis,anoia,True,False
barcelona,delicte,lgtbi fobia,home,18,1,2023-07-01,resta municipis,anoia,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,28,1,2023-07-01,resta municipis,barcelones,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,33,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,infraccio administrativa,lgtbi fobia,home,15,1,2023-07-01,resta municipis,anoia,True,False
barcelona,infraccio administrativa,lgtbi fobia,home,18,1,2023-07-01,resta municipis,anoia,False,True
barcelona,delicte,etnic/origen nacional/origen racial,dona,50,1,2023-07-01,resta municipis,valles oriental,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,56,1,2023-07-01,resta municipis,valles oriental,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,49,1,2023-07-01,resta municipis,valles oriental,True,False
barcelona,delicte,etnic/origen nacional/origen racial,dona,48,1,2023-07-01,resta municipis,valles oriental,False,True
barcelona,delicte,lgtbi fobia,home,38,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,38,1,2023-07-01,resta municipis,barcelones,True,False
barcelona,delicte,lgtbi fobia,home,43,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,38,1,2023-07-01,resta municipis,barcelones,False,True
girona,delicte,etnic/origen nacional/origen racial,home,52,1,2023-07-01,resta municipis,selva,False,True
barcelona,delicte,lgtbi fobia,home,19,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,altres,orientacio politica,dona,60,1,2023-07-01,resta municipis,baix llobregat,False,True
tarragona,delicte,orientacio politica,home,50,1,2023-07-01,resta municipis,tarragones,False,True
tarragona,delicte,orientacio politica,home,27,1,2023-07-01,resta municipis,tarragones,True,False
barcelona,delicte,orientacio politica,home,27,1,2023-07-01,resta municipis,anoia,True,False
barcelona,delicte,orientacio politica,dona,26,1,2023-07-01,resta municipis,anoia,True,False
barcelona,delicte,orientacio politica,dona,37,1,2023-07-01,resta municipis,anoia,False,True
barcelona,delicte,lgtbi fobia,home,50,1,2023-07-01,resta municipis,barcelones,True,False
barcelona,delicte,lgtbi fobia,home,29,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,dona,33,1,2023-07-01,resta municipis,valles occidental,False,True
barcelona,delicte,etnic/origen nacional/origen racial,dona,12,1,2023-07-01,resta municipis,valles occidental,False,True
barcelona,delicte,discapacitat fisic/sensorial,home,50,1,2023-07-01,resta municipis,baix llobregat,False,True
barcelona,delicte,discapacitat fisic/sensorial,dona,55,1,2023-07-01,resta municipis,baix llobregat,True,False
barcelona,delicte,discapacitat fisic/sensorial,dona,55,1,2023-07-01,resta municipis,baix llobregat,False,True
barcelona,delicte,orientacio politica,home,45,1,2023-07-01,resta municipis,barcelones,False,True
barcelona,delicte,orientacio politica,home,55,1,2023-07-01,resta municipis,baix llobregat,True,False
barcelona,delicte,orientacio politica,home,25,1,2023-07-01,resta municipis,baix llobregat,True,False
barcelona,delicte,orientacio politica,home,51,1,2023-07-01,resta municipis,baix llobregat,False,True
barcelona,delicte,lgtbi fobia,dona,13,1,2023-07-01,resta municipis,osona,False,True
barcelona,delicte,lgtbi fobia,dona,28,1,2023-07-01,resta municipis,valles occidental,False,True
tarragona,delicte,lgtbi fobia,dona,16,1,2023-07-01,resta municipis,tarragones,False,True
tarragona,delicte,lgtbi fobia,home,17,1,2023-07-01,resta municipis,tarragones,True,False
tarragona,delicte,lgtbi fobia,home,19,1,2023-07-01,resta municipis,baix camp,False,True
tarragona,delicte,lgtbi fobia,dona,19,1,2023-07-01,resta municipis,baix camp,False,True
barcelona,delicte,etnic/origen nacional/origen racial,dona,45,1,2023-07-01,resta municipis,baix llobregat,True,False
barcelona,delicte,etnic/origen nacional/origen racial,dona,32,1,2023-07-01,resta municipis,baix llobregat,False,True
barcelona,delicte,lgtbi fobia,home,16,1,2023-07-01,resta municipis,osona,True,False
barcelona,delicte,lgtbi fobia,dona,13,1,2023-07-01,resta municipis,osona,False,True
barcelona,delicte,lgtbi fobia,home,15,1,2023-07-01,resta municipis,osona,True,False
